global_step,epoch,loss_teacher_ce
0,0,0.788753092288971
0,0,1.119426965713501
0,0,0.9028730988502502
0,0,0.9564897418022156
0,0,1.4514927864074707
0,0,1.0789971351623535
0,0,1.1242587566375732
0,0,0.5061156153678894
0,0,1.0603716373443604
0,0,0.5304252505302429
0,0,0.6983197331428528
0,0,0.9679370522499084
0,0,1.0741896629333496
0,0,0.7808268070220947
0,0,0.9325541257858276
0,0,1.5958524942398071
1,0.7619047619047619,1.0882052183151245
1,0.7619047619047619,0.7553071975708008
1,0.7619047619047619,1.2774074077606201
1,0.7619047619047619,0.867878258228302
1,0.7619047619047619,1.0290141105651855
2,1.0,0.7328081130981445
2,1.0,1.4345895051956177
2,1.0,1.258763313293457
2,1.0,1.0482209920883179
2,1.0,0.6222016215324402
2,1.0,0.5299935936927795
2,1.0,0.876900315284729
2,1.0,0.6457728743553162
2,1.0,0.9015932083129883
2,1.0,1.5883169174194336
2,1.0,0.9435660243034363
2,1.0,0.44471806287765503
2,1.0,0.8210916519165039
2,1.0,0.696974515914917
2,1.0,1.248071551322937
2,1.0,1.0222753286361694
3,1.7619047619047619,0.9587273597717285
3,1.7619047619047619,1.5885491371154785
3,1.7619047619047619,0.7823420166969299
3,1.7619047619047619,1.269648790359497
3,1.7619047619047619,0.926507830619812
4,2.0,1.0092836618423462
4,2.0,0.9112867712974548
4,2.0,1.1135886907577515
4,2.0,0.7419366836547852
4,2.0,0.7557571530342102
4,2.0,1.0088427066802979
4,2.0,0.9626664519309998
4,2.0,0.947792112827301
4,2.0,1.0947237014770508
4,2.0,1.0896536111831665
4,2.0,1.1915634870529175
4,2.0,0.7627098560333252
4,2.0,1.2141189575195312
4,2.0,1.2322036027908325
4,2.0,1.0587793588638306
4,2.0,1.0911015272140503
5,2.761904761904762,0.6707735061645508
5,2.761904761904762,1.045644760131836
5,2.761904761904762,0.9002880454063416
5,2.761904761904762,1.5029306411743164
5,2.761904761904762,0.7926331758499146
6,3.0,1.214505672454834
6,3.0,1.036421775817871
6,3.0,0.9170461893081665
6,3.0,0.7035077810287476
6,3.0,1.0428011417388916
6,3.0,0.8166590332984924
6,3.0,0.9343852996826172
