global_step,epoch,loss_teacher_ce
0,0,4.140293598175049
0,0,4.335002899169922
0,0,2.2926735877990723
0,0,3.398449659347534
0,0,4.733484268188477
0,0,4.432502269744873
0,0,3.5092251300811768
0,0,4.446688652038574
1,0.16,4.782695770263672
1,0.16,3.839761972427368
1,0.16,4.859637260437012
1,0.16,3.847227096557617
1,0.16,4.330491542816162
1,0.16,4.8303961753845215
1,0.16,4.771000385284424
1,0.16,3.865814208984375
2,0.32,4.878948211669922
2,0.32,4.564871788024902
2,0.32,3.5515286922454834
2,0.32,4.247460842132568
2,0.32,3.627838611602783
2,0.32,4.3588480949401855
2,0.32,3.853630542755127
2,0.32,3.9437363147735596
3,0.48,4.4644551277160645
3,0.48,3.9991767406463623
3,0.48,3.9355874061584473
3,0.48,3.645864248275757
3,0.48,3.5324907302856445
3,0.48,3.1959481239318848
3,0.48,3.4518322944641113
3,0.48,3.455531120300293
4,0.64,3.552067279815674
4,0.64,4.0403523445129395
4,0.64,3.7225420475006104
4,0.64,3.0457329750061035
4,0.64,2.925205945968628
4,0.64,4.019720077514648
4,0.64,2.9250214099884033
4,0.64,4.142237663269043
5,0.8,4.1277546882629395
5,0.8,3.3789985179901123
5,0.8,3.5666558742523193
5,0.8,3.8631482124328613
5,0.8,3.708047389984131
5,0.8,4.0353240966796875
5,0.8,3.906177282333374
5,0.8,3.2045648097991943
6,0.96,3.0845088958740234
6,0.96,3.17453932762146
7,1.0,2.722670078277588
7,1.0,3.0294058322906494
7,1.0,3.2972285747528076
7,1.0,3.1618547439575195
7,1.0,3.5436668395996094
7,1.0,3.106640577316284
7,1.0,3.0046515464782715
7,1.0,2.084257125854492
8,1.16,2.594776153564453
8,1.16,3.033498764038086
8,1.16,3.2295186519622803
8,1.16,2.858469009399414
8,1.16,3.2507848739624023
8,1.16,2.6718554496765137
8,1.16,2.9264466762542725
8,1.16,3.035604953765869
9,1.32,2.1181790828704834
9,1.32,3.005991220474243
9,1.32,2.5827817916870117
9,1.32,2.3286852836608887
9,1.32,2.7630138397216797
9,1.32,2.683319568634033
9,1.32,2.7325713634490967
9,1.32,2.7396352291107178
10,1.48,2.2735118865966797
10,1.48,2.7544918060302734
10,1.48,2.103895902633667
10,1.48,2.371706485748291
10,1.48,2.696791172027588
10,1.48,2.702890396118164
10,1.48,2.2476212978363037
10,1.48,2.5292534828186035
11,1.6400000000000001,2.3895423412323
11,1.6400000000000001,2.7388594150543213
11,1.6400000000000001,2.270167112350464
11,1.6400000000000001,1.9471104145050049
11,1.6400000000000001,1.9842324256896973
11,1.6400000000000001,2.1005334854125977
11,1.6400000000000001,2.4825973510742188
11,1.6400000000000001,2.4394688606262207
12,1.8,2.456655263900757
12,1.8,1.9474066495895386
12,1.8,1.9628263711929321
12,1.8,2.2033026218414307
12,1.8,1.8974525928497314
12,1.8,2.054537534713745
12,1.8,2.2549235820770264
12,1.8,2.1279659271240234
13,1.96,1.8901606798171997
13,1.96,1.814110517501831
14,2.0,1.878264307975769
14,2.0,1.886009931564331
14,2.0,1.9267271757125854
14,2.0,1.8421553373336792
14,2.0,2.1304657459259033
14,2.0,1.7409003973007202
14,2.0,2.0869762897491455
14,2.0,2.114459753036499
15,2.16,2.365260601043701
15,2.16,2.0690999031066895
15,2.16,1.9870519638061523
15,2.16,1.758409857749939
15,2.16,1.932058572769165
15,2.16,1.9448723793029785
15,2.16,1.559721827507019
15,2.16,1.8776016235351562
16,2.32,1.831302523612976
16,2.32,1.7561924457550049
16,2.32,1.8598664999008179
16,2.32,1.7844150066375732
16,2.32,1.5317565202713013
16,2.32,2.0121657848358154
16,2.32,1.8096346855163574
16,2.32,1.697876214981079
17,2.48,1.7097644805908203
17,2.48,1.743032455444336
17,2.48,1.893418312072754
17,2.48,2.2761619091033936
17,2.48,1.77572762966156
17,2.48,1.9744107723236084
17,2.48,1.6878387928009033
17,2.48,1.6918303966522217
18,2.64,2.094398021697998
18,2.64,1.6509408950805664
18,2.64,1.5897960662841797
18,2.64,1.540488362312317
18,2.64,1.7936357259750366
18,2.64,1.674052119255066
18,2.64,1.9152494668960571
18,2.64,1.9840519428253174
19,2.8,1.2689483165740967
19,2.8,2.147148609161377
19,2.8,1.8464338779449463
19,2.8,1.577734112739563
19,2.8,1.827223777770996
19,2.8,1.9713469743728638
19,2.8,1.5935139656066895
19,2.8,1.9937700033187866
20,2.96,1.9050318002700806
20,2.96,1.8038541078567505
