global_step,epoch,loss_total,loss_student_ce,loss_teacher_ce,loss_align
0,0,7.639908313751221,3.691021203994751,3.9326910972595215,0.016195761039853096
0,0,6.741140365600586,3.162144660949707,3.564558982849121,0.01443677581846714
0,0,7.453458786010742,3.581516981124878,3.860057830810547,0.011883915401995182
0,0,6.610348224639893,3.1552305221557617,3.436824083328247,0.018293997272849083
0,0,6.666094779968262,3.22444748878479,3.425605535507202,0.01604177989065647
0,0,5.983050346374512,2.923940658569336,3.044947862625122,0.014161920174956322
0,0,5.965525150299072,2.966305732727051,2.9938161373138428,0.005403186660259962
0,0,7.0941362380981445,3.392451524734497,3.6854562759399414,0.016228551045060158
1,0.0016652789342214821,5.923868179321289,2.907017230987549,2.9991652965545654,0.017686020582914352
1,0.0016652789342214821,7.003070831298828,3.2603704929351807,3.7003586292266846,0.04234149307012558
1,0.0016652789342214821,7.58317232131958,3.5752716064453125,3.9976694583892822,0.010231668129563332
1,0.0016652789342214821,7.1852545738220215,3.4225265979766846,3.7561843395233154,0.006543636787682772
